record_id,a1_terminal,a2_terminal,v_terminal,a1_first_error,a2_first_error,v_first_error,a1_carryforward,a2_carryforward,v_carryforward
MAIN-0172,1,0,1,1,0,0,1,1,1
MAIN-0179,1,0,1,1,0,0,1,1,1
MAIN-0185,1,0,1,1,0,0,1,1,1
MAIN-0189,1,0,1,1,0,0,1,1,1
MAIN-0196,1,1,1,1,1,1,1,1,1
MAIN-0200,1,1,1,1,1,1,1,1,1
MAIN-0212,1,1,1,1,1,1,1,1,1
MAIN-0210,1,1,1,1,1,1,1,1,1
MAIN-0158,1,1,1,1,1,1,1,1,1
MAIN-0163,1,1,1,1,1,1,1,1,1
MAIN-0162,1,1,1,1,1,1,1,1,1
MAIN-0168,1,1,1,1,1,1,1,1,1
MAIN-0040,1,0,1,1,0,0,1,1,1
MAIN-0043,1,0,1,1,0,0,1,1,1
MAIN-0039,1,0,1,1,0,0,1,1,1
MAIN-0032,1,0,1,1,0,0,1,1,1
MAIN-0049,1,1,1,1,1,1,1,1,1
MAIN-0068,1,1,1,1,1,1,1,1,1
MAIN-0051,1,1,1,1,1,1,1,1,1
MAIN-0052,1,1,1,1,1,1,1,1,1
MAIN-0010,1,1,1,1,1,1,1,1,1
MAIN-0004,1,1,1,1,1,1,1,1,1
MAIN-0015,1,1,1,1,1,1,1,1,1
MAIN-0001,1,1,1,1,1,1,1,1,1
MAIN-0118,1,0,1,1,0,0,1,1,1
MAIN-0112,1,0,1,1,0,0,1,1,1
MAIN-0107,1,0,1,1,0,0,1,1,1
MAIN-0103,1,0,1,1,0,0,1,1,1
MAIN-0133,1,1,1,1,1,1,1,1,1
MAIN-0129,1,1,1,1,1,1,1,1,1
MAIN-0132,1,1,1,1,1,1,1,1,1
MAIN-0144,1,1,1,1,1,1,1,1,1
MAIN-0089,1,1,1,1,1,1,1,1,1
MAIN-0093,1,1,1,1,1,1,1,1,1
MAIN-0075,1,1,1,1,1,1,1,1,1
MAIN-0096,1,1,1,1,1,1,1,1,1
